patent_name,patent_id_str,uspto_link,patent_id,google_url
Portable Can Opener,"5,239,757",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&s2=%22one+handed%22&OS=TTL/,5239757,https://patents.google.com/patent/US5239757
Single Hand Can Opener,"4,860,455",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=4&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&s2=%22Single+Hand%22&OS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22&RS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22,4860455,https://patents.google.com/patent/US4860455
Electric Can Opener,"8,312,633",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&s2=%22Single+Hand%22&OS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22&RS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22,8312633,https://patents.google.com/patent/US8312633
Can Opener,"5,291,658",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=3&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&s2=%22Single+Hand%22&OS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22&RS=TTL/%22Can+Opener%22+AND+%22Single+Hand%22,5291658,https://patents.google.com/patent/US5291658
Power Assist Can Opener,"9,604,833",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=7&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,9604833,https://patents.google.com/patent/US9604833
Manual Can Opener,"D801,142",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=3&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D801142,https://patents.google.com/patent/USD801142
Paint Brush And Can Opener,"D774,311",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=9&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D774311,https://patents.google.com/patent/USD774311
Electric Can Opener and Method,"8,371,033",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=31&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,8371033,https://patents.google.com/patent/US8371033
Electric Can Opener with Removeable Tools,"8,079,152",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=33&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,8079152,https://patents.google.com/patent/US8079152
Can Opener with Scoop,"D609,986",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=40&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D609986,https://patents.google.com/patent/USD609986
Can Opener Mechanism,"7,574,808",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=47&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,7574808,https://patents.google.com/patent/US7574808
Mini Can Opener,"D594,301",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=48&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,D594301,https://patents.google.com/patent/USD594301
Folding knife With tobacco can opener,"9,737,999",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=5&f=G&l=50&co1=AND&d=PTXT&s1=%22Can+Opener%22.TI.&OS=TTL/%22Can+Opener%22&RS=TTL/%22Can+Opener%22,9737999,https://patents.google.com/patent/US9737999
